Year,Minority,Major,Programming,Programming.Affinity,Statistics,Letter.Grade,Requirement,Birthday,Extrovert,People.Texted,Hours.of.Sleep,Handedness,Sleep.Position,Pets,Piercings,Languages
First Year,Yes,Architecture/Civil Engineering,False,1,True,Yes,Yes,4/5,4,7,7,Right-handed,On your stomach,False,6,2
Third Year,No,Chemical Engineering,True,3,False,Yes,Yes,3/6,4,6,7,Right-handed,On your right side,False,2,3
Second Year,Yes,Computer Science,True,5,True,Yes,No,4/22,3,3,8,Right-handed,On your right side,True,0,7
Second Year,No,Public Health,False,3,True,Yes,Yes,12/5,8,5,7,Right-handed,On your back,True,2,5
First Year,No,Economics,False,1,True,Yes,Yes,10/11,7,5,7,Right-handed,On your right side,True,0,1
Second Year,I don't know,"Data Science, Media Studies",False,1,False,Yes,Yes,5/6,8,10,6.5,Right-handed,On your left side,False,2,3
First Year,No,"Business, Data Science",True,3,True,Yes,Yes,11/2,7,3,7,Right-handed,On your stomach,False,2,3
Fourth Year,No,Media Studies,False,1,False,Yes,Yes,7/30,1,6,10,Left-handed,On your right side,True,2,3
Third Year,Yes,Data Science,True,3,True,Yes,Yes,3/16,5,5,7,Right-handed,On your back,False,4,4
First Year,No,Data Science,True,3,True,Yes,Yes,7/16,6,4,7,Right-handed,On your right side,False,4,3
First Year,Yes,Data Science,True,2,False,Yes,Yes,4/29,7,5,7,Right-handed,On your back,False,0,1
Second Year,I don't know,"Data Science, Neurology",False,1,False,Yes,No,10/27,1,5,7,Right-handed,On your back,True,0,1
First Year,I don't know,Applied Math,False,1,True,Yes,Yes,8/13,5,3,7,Right-handed,On your back,True,2,2
First Year,No,Applied Math,False,1,False,Yes,No,10/13,7,8,7.5,Right-handed,On your right side,True,0,3
Third Year,No,Data Science,True,5,True,Yes,Yes,5/9,3,2,7,Right-handed,On your back,True,0,2
First Year,No,Economics,True,3,True,Yes,Yes,7/4,7,5,8,Right-handed,On your left side,False,0,4
Third Year,No,Applied Math,True,4,True,Yes,Yes,11/2,5,5,8,Right-handed,On your stomach,False,0,6
Second Year,Yes,"Business, Civil Engineering",True,3,False,Yes,Yes,6/28,4,3,8,Right-handed,On your back,False,0,2
Fifth Year or above,I don't know,Astrophysics,True,2,True,Yes,Yes,4/5,6,3,7,Right-handed,On your right side,True,2,2
First Year,No,Data Science,True,3,True,Yes,Yes,4/20,4,6,7,Right-handed,On your back,False,2,2
First Year,I don't know,Data Science,True,3,True,Yes,Yes,7/21,4,5,7,Right-handed,On your right side,False,0,2
First Year,No,Civil Engineering,False,2,False,Yes,Yes,4/1,4,9,8,Right-handed,On your back,True,0,3
First Year,No,Statistics,True,3,True,Yes,Yes,1/5,8,6,8,Right-handed,On your right side,False,0,3
Second Year,I don't know,Integrative Biology,False,1,False,Yes,Yes,7/18,5,5,7,Right-handed,On your stomach,True,3,6
First Year,No,Data Science,True,3,False,Yes,Yes,8/29,3,6,6,Right-handed,On your left side,False,2,2
Second Year,No,"Computer Science, Data Science",True,2,False,Yes,Yes,10/21,3,3,7,Right-handed,On your right side,False,0,2
Second Year,Yes,Mechanical Engineering,True,5,False,Yes,Yes,12/10,7,10,7,Right-handed,On your back,True,0,2
First Year,I don't know,Applied Math,True,3,False,Yes,Yes,2/18,6,10,7,Right-handed,On your right side,True,2,6
Second Year,Yes,"Cognitive Science, Computer Science",True,3,False,Yes,Yes,6/3,3,1,6,Right-handed,On your left side,True,2,2
First Year,No,Data Science,True,5,False,Yes,Yes,3/18,7,4,7,Right-handed,On your back,True,0,3
Second Year,Yes,Public Health,True,1,False,Yes,Yes,12/19,4,4,6,Right-handed,On your stomach,True,2,4
Third Year,I don't know,Statistics,False,1,True,Yes,Yes,9/24,1,2,9,Right-handed,On your right side,False,0,1
First Year,Yes,Data Science,False,1,True,Yes,Yes,4/28,5,4,6,Right-handed,On your right side,True,0,1
First Year,Yes,Civil Engineering,False,2,False,Yes,Yes,1/12,3,5,8,Left-handed,On your right side,True,6,4
Third Year,Yes,Data Science,True,5,True,Yes,Yes,4/1,7,10,8,Right-handed,On your back,True,0,1
Third Year,I don't know,Statistics,True,1,True,Yes,Yes,2/26,6,7,8,Right-handed,On your right side,False,2,0
First Year,No,Statistics,True,2,True,Yes,Yes,5/26,4,10,6.5,Right-handed,On your back,True,0,2
First Year,No,Economics,False,2,False,Yes,Yes,9/21,3,5,6,Left-handed,On your back,True,0,3
Second Year,No,Chemistry,True,2,False,Yes,Yes,11/3,3,5,8,Right-handed,On your left side,True,2,3
First Year,No,Neuroscience,False,2,True,Yes,Yes,11/8,4,5,7,Right-handed,On your stomach,False,0,3
Second Year,Yes,Cognitive Science,False,1,False,Yes,Yes,12/6,4,3,7,Right-handed,On your right side,True,4,5
Second Year,I don't know,"Economics, Statistics",False,3,True,Yes,Yes,3/28,2,1,7,Left-handed,On your back,False,0,1
First Year,I don't know,"Data Science, Undecided",False,1,False,Yes,I don't know,4/6,9,6,8,"born left-handed, but i live right-handed",On your right side,False,2,2
First Year,No,"Data Science, Economics, Statistics",True,2,True,Yes,Yes,7/28,6,5,7,Right-handed,On your left side,False,2,2
Second Year,Yes,English,False,1,False,Yes,No,7/17,5,10,8,Right-handed,On your right side,True,5,2
Third Year,No,"Data Science, Statistics",False,4,True,Yes,Yes,11/7,6,4,6,Left-handed,On your right side,False,0,3
First Year,Yes,Civil Engineering,False,2,False,Yes,Yes,7/25,5,3,7,Right-handed,On your back,True,0,2
Second Year,Yes,Public Health,False,1,True,Yes,Yes,7/27,5,7,6,Right-handed,On your left side,True,8,3
First Year,No,Society and Environment,False,1,True,Yes,Yes,5/22,6,8,7,Right-handed,On your left side,True,2,2
Second Year,No,"Applied Math, Data Science",False,2,True,Yes,Yes,5/4,2,1,6,Right-handed,On your back,True,0,5
Second Year,I don't know,Engineering,True,2,False,Yes,Yes,6/7,5,4,7,Right-handed,On your back,False,0,2
Third Year,I don't know,Statistics,True,3,True,Yes,Yes,1/14,5,4,7,Right-handed,On your stomach,False,0,3
First Year,No,Data Science,True,4,True,Yes,Yes,1/5,4,15,8,Right-handed,On your stomach,False,0,4
Second Year,No,Economics,False,1,False,Yes,I don't know,2/26,4,20,8,Right-handed,On your right side,False,1,2
Second Year,No,"Cognitive Science, Data Science",True,3,False,Yes,Yes,12/12,4,4,7,Right-handed,On your left side,False,0,1
Second Year,No,Public Health,False,2,False,Yes,Yes,5/29,7,5,7,Right-handed,On your right side,False,1,6
First Year,I don't know,Civil Engineering,False,2,False,Yes,Yes,10/20,4,10,6,Right-handed,On your back,False,0,1
Fifth Year or above,Yes,"Public Health, Anthropology",True,2,True,Yes,Yes,1/25,1,2,5,Left-handed,On your back,False,0,1
Second Year,No,"Cognitive Science, Art History",True,3,True,Yes,Yes,11/26,3,2,8,Right-handed,On your right side,True,2,2
Third Year,Yes,"Psychology, Double major in social welfare",True,2,True,Yes,No,7/28,4,5,8,Right-handed,On your stomach,False,0,2
Second Year,Yes,Civil and Environmental Engineering ,True,4,False,Yes,Yes,3/30,5,7,8,Right-handed,On your right side,True,0,4
Second Year,No,"Cognitive Science, Data Science",True,3,False,Yes,Yes,9/15,3,4,7,Left-handed,On your left side,False,2,5
First Year,No,Data Science,True,3,True,Yes,Yes,8/10,4,3,8,Right-handed,On your back,False,0,3
First Year,No,Chemistry,True,4,True,Yes,Yes,4/8,3,6,7,Right-handed,On your back,True,0,2
First Year,I don't know,Data Science,True,3,True,Yes,Yes,1/18,5,2,8,Left-handed,On your back,True,0,2
Fourth Year,No,"Applied Math, Computer Science",True,5,True,Maybe,No,3/1,5,8,8,Right-handed,On your left side,True,0,2
First Year,No,"Applied Math, Data Science",True,4,True,Yes,Yes,4/23,2,2,7,Right-handed,On your left side,False,0,4
First Year,Yes,Civil Engineering,True,4,False,Yes,Yes,1/21,6,5,8,Right-handed,On your back,False,0,1
First Year,No,Statistics,False,1,True,Yes,Yes,9/12,8,10,8,Right-handed,On your back,False,0,2
First Year,No,Civil Engineering,True,3,False,Yes,Yes,2/23,6,5,7,Right-handed,On your right side,True,2,2
Third Year,No,Applied Math,True,3,False,Yes,No,12/14,4,5,9,Right-handed,On your left side,True,0,5
First Year,Yes,"Business, Data Science, Economics, Environmental Science, Political Science",False,2,True,Yes,Yes,6/14,8,12,7,Right-handed,On your back,False,0,9
Third Year,Yes,Applied Math,True,4,True,Yes,Yes,8/27,3,3,10,Right-handed,On your left side,True,0,2
First Year,Yes,"Data Science, Economics",True,3,True,Yes,Yes,10/27,8,4,8,Right-handed,On your stomach,True,0,5
Second Year,No,Cognitive Science,True,4,True,Yes,Yes,11/16,6,2,8,Right-handed,On your left side,False,2,2
First Year,No,Data Science,True,4,True,Yes,Yes,7/2,3,10,8,Right-handed,On your left side,True,0,5
Third Year,No,Civil Engineering,True,2,False,Yes,Yes,6/30,4,5,8,Right-handed,On your right side,True,0,2
Third Year,No,EECS,True,5,True,Yes,No,11/14,5,5,8,Right-handed,On your back,True,0,3
First Year,No,"Business, Undecided",False,1,True,Yes,I don't know,3/3,8,5,7,Right-handed,On your back,True,2,3
First Year,No,Applied Math,False,4,True,Yes,Yes,10/9,3,4,8,Left-handed,On your left side,False,0,1
First Year,No,Data Science,True,4,True,Yes,Yes,11/4,3,3,7,Left-handed,On your right side,True,0,1
First Year,No,Data Science,True,2,True,Yes,Yes,7/11,7,20,7,Right-handed,On your right side,False,1,4
First Year,No,Statistics,True,3,True,Yes,Yes,11/4,7,10,7,Right-handed,On your back,False,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,4/7,6,6,7,Right-handed,On your back,False,0,3
Second Year,No,Mathematics,True,2,True,Yes,No,4/30,6,10,7,Right-handed,On your left side,True,0,3
First Year,I don't know,Data Science,True,2,True,Yes,Yes,6/27,5,5,7,Right-handed,On your back,False,0,3
First Year,No,"Data Science, Economics",True,3,True,Yes,Yes,5/22,8,5,7,Right-handed,On your left side,False,0,4
Third Year,No,Public Health,False,1,False,Yes,Yes,1/30,6,5,6,Right-handed,On your back,True,4,3
Second Year,No,"Business, Economics",False,1,False,Yes,Yes,5/5,8,10,7,Right-handed,On your right side,False,2,1
First Year,Yes,Cognitive Science,True,2,False,Yes,Yes,11/12,4,4,8,Right-handed,On your right side,True,6,2
First Year,No,"Business, Data Science, Physics",True,3,True,Yes,Yes,7/19,6,8,6.5,Right-handed,On your right side,False,2,5
Third Year,Yes,Psychology,False,2,True,Yes,Yes,4/19,6,2,6,Right-handed,On your left side,False,2,2
First Year,No,Civil Engineering,False,2,True,Yes,Yes,8/29,8,30,7,Right-handed,On your right side,True,0,4
First Year,I don't know,Molecular and Cell Biology,False,1,False,Yes,I don't know,7/8,3,3,7,Right-handed,On your back,True,0,1
Second Year,I don't know,Public Health,False,1,True,Yes,Yes,7/8,5,4,8,Right-handed,On your left side,True,4,2
First Year,No,Data Science,True,3,False,Yes,Yes,7/4,7,15,7.5,Right-handed,On your back,True,2,1
Third Year,No,Applied Math,True,3,False,Yes,Yes,6/30,5,4,7,Right-handed,On your back,False,0,3
First Year,No,Statistics,True,2,True,Yes,Yes,6/28,7,15,8,Right-handed,On your left side,False,0,4
First Year,No,IEOR,True,2,True,Yes,Yes,6/20,8,10,7,Left-handed,On your left side,True,0,2
First Year,No,Civil Engineering,True,3,True,Yes,Yes,1/10,5,9,8,Right-handed,On your right side,False,0,1
First Year,Yes,Civil Engineering,False,2,False,Yes,Yes,7/7,6,6,6,Right-handed,On your left side,True,2,2
Second Year,No,Cognitive Science,False,2,False,Yes,Yes,1/25,7,4,9,Right-handed,On your back,True,5,2
First Year,,Data Science,True,3,True,Yes,Yes,5/10,4,4,6,Right-handed,On your right side,True,2,1
Third Year,No,Statistics,False,2,False,Yes,Yes,1/14,3,5,7,Right-handed,On your back,True,0,2
First Year,Yes,Undecided,False,1,False,Yes,Yes,1/26,4,2,7,Right-handed,On your stomach,False,4,2
Fourth Year,No,"Molecular and Cell Biology, Public Health",True,2,True,Yes,Yes,6/20,8,4,7,Right-handed,On your back,False,0,3
Second Year,Yes,"Cognitive Science, Psychology, Neuroscience",True,3,True,Yes,Yes,12/7,7,8,6,Left-handed,On your left side,False,3,3
First Year,No,Applied Math,True,3,True,Yes,No,6/9,9,3,6,Right-handed,On your right side,False,0,3
First Year,No,Physics,True,4,True,Yes,No,3/21,6,15,8,Right-handed,On your right side,True,0,2
Third Year,I don't know,Applied Math,True,3,True,Yes,Yes,3/4,5,10,7,Right-handed,On your stomach,True,0,3
First Year,No,Data Science,True,3,True,Yes,Yes,12/18,5,6,7,Right-handed,On your back,False,0,8
First Year,No,Data Science,True,3,True,Yes,Yes,4/11,4,4,5,Right-handed,On your stomach,False,0,7
Second Year,No,Molecular and Cell Biology,False,1,True,Yes,Yes,6/3,7,2,7,Right-handed,On your back,False,0,0
Second Year,No,"Business, Economics",False,1,True,Yes,Yes,11/5,4,12,8,Right-handed,On your right side,True,0,2
First Year,I don't know,Data Science,True,3,False,Yes,Yes,1/6,9,5,7,Right-handed,On your back,False,0,2
First Year,Yes,"Economics, Society and Environment",True,2,True,Yes,Yes,9/4,8,9,7,Right-handed,On your left side,True,0,2
Third Year,No,"Data Science, Statistics",True,2,True,Yes,Yes,1/30,5,4,7,Right-handed,On your back,False,2,4
First Year,I don't know,Data Science,True,2,True,Yes,Yes,9/23,8,10,7,Right-handed,On your right side,True,1,1
First Year,No,"Business, Economics",True,2,False,Yes,No,3/23,3,3,6,Right-handed,On your right side,True,4,5
Second Year,No,Statistics,True,3,True,Yes,Yes,7/12,3,5,7.5,Left-handed,On your back,False,0,2
Third Year,No,Data Science,False,3,False,Yes,Yes,8/8,5,5,5,Right-handed,On your right side,False,3,2
First Year,I don't know,"Data Science, Astrophysics",True,2,True,Yes,Yes,3/19,6,3,8,Right-handed,On your right side,False,0,1
First Year,I don't know,"Applied Math, Data Science, Statistics",False,3,False,Yes,Yes,2/22,6,4,7,"Mostly right-handed in daily life, but left-handed when I do most of the sports.",On your back,True,0,3
First Year,I don't know,Applied Math,True,3,True,Yes,Yes,6/4,5,6,6,Left-handed,On your right side,False,0,4
First Year,Yes,Data Science,True,5,True,Yes,Yes,7/12,5,10,8,Right-handed,On your back,True,0,5
Second Year,Yes,Film and Media,False,1,False,Yes,Yes,4/21,9,12,6.5,Right-handed,On your right side,False,5,2
First Year,No,"Data Science, Undecided",False,2,False,Maybe,Yes,2/16,4,2,7,Right-handed,On your back,True,3,3
Third Year,I don't know,Data Science,False,3,False,Yes,Yes,1/19,4,5,8,Right-handed,On your back,True,3,2
Third Year,Yes,Computer Science,False,3,False,Yes,Yes,4/22,7,10,7,Right-handed,On your left side,True,0,5
First Year,No,Data Science,True,2,True,Yes,Yes,12/28,5,6,6,Right-handed,On your right side,False,0,2
Third Year,I don't know,Cognitive Science,False,2,False,Yes,Yes,4/2,3,3,7,Right-handed,On your back,True,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,11/2,5,3,7,Right-handed,On your back,False,0,1
Third Year,Yes,IEOR,True,3,False,Yes,Yes,9/30,4,5,9,Right-handed,On your right side,True,0,2
Second Year,No,Integrated Biology,True,4,True,Yes,No,12/17,5,4,7,Right-handed,On your right side,True,0,2
First Year,Yes,Undecided,False,1,True,Yes,Yes,8/11,4,4,7,Right-handed,On your back,False,1,2
First Year,No,Molecular and Cell Biology,True,2,True,Yes,Yes,11/2,6,3,6,Right-handed,On your back,True,0,2
Second Year,Yes,"Cognitive Science, Computer Science",True,2,False,Yes,Yes,2/11,2,10,5,Right-handed,On your left side,False,4,2
Third Year,I don't know,Civil Engineering,True,2,True,Yes,Yes,4/19,6,5,7,Right-handed,On your back,False,0,3
First Year,I don't know,Data Science,False,4,True,Yes,Yes,6/7,2,3,8,Right-handed,On your back,True,2,2
Second Year,No,"Business, Molecular and Cell Biology",False,1,True,Yes,Yes,1/27,8,15,8,Right-handed,On your back,True,4,4
First Year,No,"Data Science, Economics",False,1,False,Yes,Yes,2/2,6,5,8,Right-handed,On your right side,False,2,3
Third Year,No,Statistics,True,3,True,Yes,Yes,2/7,5,4,8,Right-handed,On your back,False,0,4
First Year,No,Data Science,True,4,True,Yes,Yes,9/24,6,5,7,Right-handed,On your left side,True,2,3
First Year,Yes,"Cognitive Science, Data Science",True,1,True,Yes,Yes,6/4,2,5,7,Right-handed,On your back,True,2,3
First Year,No,"Political Economy, History",False,1,False,Yes,Yes,7/5,7,10,8,Right-handed,On your back,True,4,3
Second Year,I don't know,"Data Science, Economics",False,1,True,Yes,Yes,3/6,9,5,6,Right-handed,On your back,False,0,4
Second Year,No,"Molecular and Cell Biology, Public Health",False,1,False,Yes,Yes,7/9,7,5,8,Right-handed,On your right side,True,2,2
First Year,No,"Data Science, Molecular and Cell Biology",True,2,True,Yes,Yes,3/31,6,10,6,Right-handed,On your back,True,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,2/13,4,5,7.5,Left-handed,On your back,True,2,3
Third Year,Yes,Business,False,1,True,Yes,No,5/23,7,5,6,Right-handed,On your left side,False,3,2
First Year,I don't know,"Cognitive Science, Data Science",True,3,False,Yes,Yes,2/21,3,4,6,Right-handed,On your right side,True,0,3
Second Year,No,"Business, Data Science, Economics",True,1,True,Yes,Yes,2/23,4,6,6,Right-handed,On your back,True,2,4
Second Year,No,"Computer Science, Data Science",True,4,True,Yes,Yes,5/15,5,7,7,Right-handed,On your left side,True,5,4
Third Year,Yes,"Applied Math, Data Science",True,5,True,Yes,Yes,10/9,8,5,7,Right-handed,On your left side,False,0,7
First Year,I don't know,"Computer Science, Data Science",True,3,True,Yes,Yes,7/23,4,5,7,Right-handed,On your left side,False,2,3
Second Year,I don't know,"Business, Molecular and Cell Biology",True,3,False,Yes,Yes,11/8,7,8,6,Right-handed,On your back,True,1,4
First Year,Yes,civil engineering,False,1,False,Maybe,Yes,2/22,5,6,7,Right-handed,On your left side,True,4,2
Second Year,No,"Data Science, Economics, Journalism",False,1,False,Yes,Yes,11/14,6,10,8,Right-handed,On your left side,False,5,3
First Year,I don't know,Civil engineering,True,3,True,Yes,Yes,2/25,4,3,7,Right-handed,On your left side,False,0,2
First Year,No,Computer Science,True,3,True,Yes,Yes,10/5,2,6,5,Left-handed,On your back,True,0,4
Second Year,No,Molecular and Cell Biology,False,1,True,Yes,Yes,3/10,6,3,6,Right-handed,On your back,False,4,3
First Year,I don't know,Data Science,True,4,False,Maybe,Yes,12/29,3,6,7.5,Right-handed,On your right side,False,0,2
Third Year,No,Data Science,True,5,True,Yes,Yes,4/10,5,2,8,Left-handed,On your back,False,3,2
Second Year,No,Data Science,False,3,True,Yes,Yes,8/31,5,2,8,Right-handed,On your back,True,0,2
First Year,I don't know,Data Science,True,2,True,Yes,Yes,9/18,7,5,7,Right-handed,On your right side,True,4,3
Third Year,I don't know,Psychology,False,2,False,Yes,No,5/12,2,4,7,Right-handed,On your back,False,2,5
First Year,No,Statistics,False,1,False,Yes,Yes,10/17,7,5,8,Right-handed,On your back,False,2,4
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,12/21,6,5,8,Right-handed,On your stomach,True,4,1
First Year,I don't know,Civil Engineering,False,3,False,Yes,Yes,7/28,4,5,8,Right-handed,On your back,False,2,2
First Year,No,Civil Engineering,False,2,True,Yes,Yes,1/11,6,3,6,Left-handed,On your left side,True,0,2
First Year,No,Data Science,True,2,True,Yes,Yes,2/14,5,8,5,Right-handed,On your back,False,0,3
Second Year,Yes,"Molecular and Cell Biology, Public Health",False,3,True,Yes,Yes,8/1,5,6,6,Left-handed,On your stomach,True,0,3
Second Year,Yes,Sociology,False,1,True,Yes,Yes,10/7,7,4,7,Right-handed,On your stomach,True,6,2
Second Year,I don't know,Statistics,False,5,True,Yes,Yes,2/26,1,1,7,Left-handed,On your stomach,True,0,2
Second Year,No,Applied Math,False,2,False,Yes,Yes,11/23,9,7,7,Right-handed,On your right side,True,0,3
First Year,No,Undecided,True,2,True,Yes,Yes,12/13,3,6,6,Right-handed,On your back,False,0,3
Third Year,No,Applied Math,False,3,True,Yes,Yes,9/25,4,5,8,Right-handed,On your right side,True,0,2
First Year,No,"Applied Math, Business",False,1,False,Yes,Yes,6/5,3,8,9,Right-handed,On your left side,True,0,3
First Year,Yes,Data Science,False,1,True,Yes,Yes,8/28,8,5,6,Right-handed,On your right side,False,3,5
First Year,No,Cognitive Science,False,1,True,Yes,Yes,5/13,4,5,6,Left-handed,On your left side,True,2,1
Fourth Year,I don't know,Chemical engineering,True,3,True,Yes,Yes,8/10,8,4,6,Right-handed,On your left side,True,5,1
Third Year,Yes,"Molecular and Cell Biology, Public Health",True,2,True,Yes,Yes,2/20,4,3,6,Right-handed,On your back,True,4,3
Fourth Year,Yes,Cognitive Science,True,3,True,Yes,Yes,12/17,6,10,7,Right-handed,On your left side,True,5,4
First Year,No,Data Science,True,4,True,Yes,Yes,8/19,4,5,7,Right-handed,On your left side,False,0,4
First Year,No,Data Science,True,2,True,Yes,Yes,7/12,7,5,7,Right-handed,On your back,True,0,3
Third Year,No,Mathematics,False,1,True,Yes,No,12/12,7,10,8,Right-handed,On your left side,True,0,3
Second Year,No,Engineering math and Stats ,True,4,False,Yes,Yes,9/13,6,5,7,Right-handed,On your right side,True,0,2
First Year,No,Civil Engineering,True,5,False,Yes,Yes,11/30,8,6,7.5,Right-handed,On your right side,True,0,2
First Year,I don't know,Civil Engineering,False,2,True,Yes,Yes,11/21,4,3,8,Right-handed,On your back,True,0,2
Fourth Year,No,"Psychology, Spanish Linguistics",True,2,True,Maybe,No,1/14,7,3,8.5,Right-handed,On your right side,True,0,2
First Year,No,Integrative Biology,False,2,True,Yes,Yes,3/18,4,4,7,Right-handed,On your back,True,2,7
Third Year,No,Applied Math,False,2,True,Yes,Yes,10/9,8,5,8,Right-handed,On your right side,False,0,3
Third Year,No,"Data Science, Political Science",False,1,True,Yes,Yes,6/3,4,5,7,Right-handed,On your left side,False,6,5
First Year,Yes,Mathematics,True,3,True,Yes,Yes,5/16,4,3,7.5,Right-handed,On your right side,True,0,2
Second Year,No,"Statistics, Geology",True,3,False,Yes,Yes,9/16,6,5,7,Right-handed,On your left side,True,0,2
Second Year,I don't know,Applied Math,True,4,True,Yes,No,4/8,1,2,6,Right-handed,On your right side,True,0,4
First Year,I don't know,"Cognitive Science, Psychology",False,1,False,Yes,Yes,1/14,7,5,5,Right-handed,On your right side,True,2,3
First Year,I don't know,Data Science,False,1,True,Yes,Yes,5/7,5,3,7,Right-handed,On your back,False,0,2
Second Year,No,Economics,False,1,True,Yes,No,9/2,5,5,6,Right-handed,On your right side,False,0,6
Second Year,No,Applied Math,True,4,False,Yes,No,4/11,9,10,7,Right-handed,On your stomach,True,11,7
Second Year,Yes,Data Science,True,3,True,Yes,Yes,4/11,7,5,7,Right-handed,On your right side,True,2,2
First Year,No,Data Science,True,2,True,Yes,Yes,12/12,6,7,8,Right-handed,On your back,False,0,4
First Year,No,Economics,False,2,True,Yes,Yes,8/15,5,3,8,Right-handed,On your back,True,2,2
First Year,No,Public Health,False,1,True,Yes,Yes,2/16,5,5,7,Right-handed,On your back,True,4,3
Second Year,Yes,Business,True,4,False,Yes,Yes,9/11,5,4,8,Right-handed,On your back,True,0,4
First Year,No,"Applied Math, art history",False,1,True,Yes,I don't know,12/30,4,5,8,Right-handed,On your left side,False,0,3
Second Year,Yes,Data Science,False,2,False,Yes,Yes,10/5,5,5,8,Right-handed,On your back,True,4,2
Second Year,I don't know,"Cognitive Science, English",False,3,False,Yes,Yes,9/10,5,7,7,Right-handed,On your right side,False,4,5
Third Year,I don't know,Media Studies,False,1,False,Yes,Yes,10/17,4,4,8,Left-handed,On your back,True,3,9
First Year,Yes,Civil Engineering,False,2,False,Yes,Yes,10/21,9,10,7,Right-handed,On your back,False,0,4
Third Year,No,"Applied Math, Statistics",True,2,True,Yes,No,1/6,6,6,7,Right-handed,On your left side,True,0,2
First Year,Yes,Civil Engineering,False,1,True,Yes,Yes,7/27,3,10,8,Right-handed,On your back,True,2,1
Third Year,I don't know,Statistics,True,4,False,Yes,Yes,9/26,3,2,7,Right-handed,On your left side,False,0,1
Second Year,No,Cognitive Science,False,1,False,Yes,Yes,9/29,4,3,8,Right-handed,On your right side,True,0,2
Second Year,Yes,"Cognitive Science, Computer Science",True,3,False,Yes,Yes,10/17,6,8,7,Right-handed,On your left side,False,4,3
First Year,No,Data Science,False,4,False,Yes,Yes,4/29,8,5,6,Right-handed,On your back,True,0,4
First Year,I don't know,Data Science,True,3,True,Yes,Yes,1/3,4,4,7,Right-handed,On your back,True,2,2
First Year,I don't know,Bioengineering,True,2,True,Yes,Yes,7/4,3,5,8,Right-handed,On your left side,False,5,2
First Year,Yes,Data Science,False,3,True,Maybe,Yes,9/16,8,2,7,Right-handed,On your left side,False,0,3
First Year,No,Economics,False,1,True,Yes,Yes,8/4,7,10,6,Right-handed,On your stomach,False,4,4
Third Year,No,Economics,False,1,True,Yes,Yes,12/4,4,4,7,Right-handed,On your back,False,0,1
First Year,No,Data Science,False,2,False,Yes,Yes,2/3,8,7,7,Left-handed,On your left side,False,7,4
First Year,I don't know,Civil Engineering,False,3,False,Yes,Yes,3/12,2,5,7,Right-handed,On your right side,False,0,1
Second Year,No,EECS,True,5,True,Yes,Yes,11/29,6,17,7,Right-handed,On your right side,False,4,4
First Year,No,"Data Science, Economics",True,2,True,Yes,Yes,12/28,6,10,7,Left-handed,On your right side,False,0,13
First Year,Yes,Undecided,False,3,False,Yes,Yes,5/3,8,20,9,Right-handed,On your back,False,2,3
First Year,I don't know,Integrative Biology/Dance and Performance Studies,False,1,True,Yes,Yes,8/6,6,6,7,Right-handed,On your back,True,5,6
First Year,No,Society and Environment,False,2,False,Yes,Yes,7/26,6,7,7,Right-handed,On your right side,True,2,3
Third Year,No,Aerospace Engineering,True,5,True,Yes,No,12/30,4,8,7,Right-handed,On your right side,True,0,3
Second Year,Yes,"Data Science, Economics",True,3,True,Yes,Yes,5/15,3,12,8,Right-handed,On your back,True,9,2
First Year,No,Civil Engineering,True,1,False,Yes,Yes,10/20,7,8,7,Right-handed,On your back,True,0,2
Third Year,No,Economics,True,1,True,Yes,Yes,7/13,3,8,8,Right-handed,On your stomach,True,2,1
Second Year,I don't know,"Cognitive Science, Data Science",True,4,True,Yes,Yes,12/21,8,10,7,Right-handed,On your right side,True,0,3
Second Year,No,"Cognitive Science, Media Studies",False,1,False,Yes,Yes,7/1,8,3,8,Right-handed,On your right side,True,3,3
First Year,I don't know,"Data Science, Economics, Undecided",True,3,True,Maybe,I don't know,10/11,8,15,6,Right-handed,On your back,False,2,2
Fourth Year,No,Cognitive Science,True,2,False,Yes,Yes,11/30,2,1,6,Right-handed,On your left side,False,0,2
Third Year,Yes,"Psychology, Public Health",True,3,True,Yes,Yes,5/21,6,10,7,Right-handed,On your back,True,2,2
First Year,No,Data Science,True,3,True,Yes,Yes,6/15,3,7,7,Right-handed,On your left side,False,0,2
First Year,No,Data Science,True,5,False,Yes,Yes,8/19,8,5,8,Right-handed,On your right side,True,0,5
First Year,No,"Data Science, Political Science, Undecided",False,2,True,Yes,Yes,12/27,8,8,7,Right-handed,On your left side,False,2,4
Second Year,I don't know,Cognitive Science,True,5,True,Yes,Yes,8/28,4,3,8,Left-handed,On your left side,False,0,4
Second Year,Yes,"Computer Science, Data Science",True,1,False,Yes,Yes,1/2,4,2,6,Right-handed,On your stomach,True,0,3
Third Year,No,"Political Economy, Sociology",False,1,True,Yes,No,12/23,10,5,7,Right-handed,On your right side,True,0,3
First Year,No,Economics,True,2,True,Yes,Yes,10/2,6,10,7,Right-handed,On your left side,False,0,4
Third Year,No,Statistics,True,3,True,Yes,Yes,1/16,7,12,7,Right-handed,On your back,False,0,3
First Year,No,Cognitive Science,True,2,False,Yes,Yes,6/30,3,3,7,Right-handed,On your right side,False,7,2
