Player,Salary Rank,Salary,Player Rank,Age,Team,Position,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Alex Len,301,3196448,473,30,SAC,C,48,2.7,1.0,0.2,0.7,0.6,2.5
Cody Zeller,301,3196448,509,31,NOP,C,43,2.6,0.9,0.2,0.1,0.4,1.8
Cory Joseph,301,3196448,479,32,GSW,PG,26,1.2,1.6,0.2,0.1,0.5,2.4
DeAndre Jordan,301,3196448,409,35,DEN,C,36,4.4,0.7,0.2,0.4,0.6,3.9
Derrick Rose,301,3196448,228,35,MEM,PG,24,1.9,3.3,0.3,0.1,1.3,8.0
Eric Gordon,301,3196448,157,35,PHO,SG,68,1.8,2.0,1.0,0.4,1.1,11.0
Garrett Temple,301,3196448,439,37,TOR,SG,27,1.7,1.0,0.4,0.1,0.5,3.3
Jae Crowder,301,3196448,294,33,MIL,PF,50,3.2,1.3,0.8,0.2,0.5,6.2
Justin Holiday,301,3196448,400,34,DEN,SG,58,1.2,1.2,0.6,0.2,0.2,4.0
Markieff Morris,301,3196448,474,34,DAL,PF,26,1.5,0.6,0.2,0.1,0.5,2.5
Patrick Beverley,301,3196448,293,35,MIL,PG,26,3.6,2.6,0.7,0.5,0.6,6.0
Robin Lopez,301,3196448,541,35,MIL,C,16,0.3,0.3,0.1,0.2,0.1,1.1
Tristan Thompson,301,3196448,440,32,CLE,C,49,3.6,1.0,0.2,0.3,0.6,3.3
Wesley Matthews,301,3196448,449,37,ATL,SG,36,1.5,0.6,0.4,0.3,0.2,3.1
Tre Mann,316,3191400,197,22,CHO,PG,28,4.5,5.2,1.7,0.1,2.0,11.9
Usman Garuba,317,3159790,559,21,GSW,PF,6,1.2,0.2,0.2,0.5,0.3,0.5
Noah Clowney,318,3089460,305,19,BRK,PF,23,3.5,0.8,0.3,0.7,0.7,5.8
Malaki Branham,319,3071880,198,20,SAS,PG,75,2.0,2.1,0.4,0.1,1.2,9.2
Simone Fontecchio,320,3044872,167,28,DET,SF,16,4.4,1.8,0.9,0.3,1.1,15.4
Dante Exum,321,3000000,231,28,DAL,PG,55,2.7,2.9,0.4,0.1,0.9,7.8
Jordan Nwora,321,3000000,256,25,TOR,SF,34,3.4,1.3,0.6,0.4,1.2,7.9
Julian Champagnie,321,3000000,268,22,SAS,SF,74,2.8,1.4,0.6,0.6,0.8,6.8
Dariq Whitehead,324,2966040,526,19,BRK,SF,2,2.0,1.5,0.0,0.5,0.0,1.5
Christian Braun,325,2949120,243,22,DEN,SG,82,3.7,1.6,0.5,0.4,0.7,7.3
Jalen Johnson,326,2925360,82,22,ATL,SF,56,8.7,3.6,1.2,0.8,1.8,16.0
Josh Richardson,327,2891467,185,30,MIA,SG,43,2.8,2.4,0.6,0.3,0.8,9.9
Kelly Oubre,327,2891467,92,28,PHI,SF,68,5.0,1.5,1.1,0.7,1.3,15.4
Kris Murray,330,2847504,298,23,POR,SF,62,3.6,1.3,0.9,0.3,0.9,6.1
Walker Kessler,332,2831160,224,22,UTA,C,64,7.5,0.9,0.5,2.4,1.0,8.1
Josh Okogie,334,2815937,359,25,PHO,SG,60,2.6,1.1,0.8,0.4,0.6,4.6
Omer Yurtseven,335,2800000,360,25,UTA,C,48,4.3,0.6,0.2,0.4,0.8,4.6
Olivier-Maxence Prosper,337,2733720,455,21,DAL,PF,40,2.0,0.6,0.2,0.1,0.2,3.0
David Roddy,339,2718240,282,22,PHO,PF,17,0.6,0.2,0.1,0.0,0.2,1.3
Christian Wood,340,2709849,266,28,LAL,PF,50,5.1,1.0,0.3,0.7,1.0,6.9
Derrick Jones,340,2709849,212,26,DAL,SF,76,3.3,1.0,0.7,0.7,0.9,8.6
Malik Beasley,340,2709849,149,27,MIL,SG,79,3.7,1.4,0.7,0.1,0.7,11.3
Chimezie Metu,344,2697258,280,26,DET,C,14,6.0,1.9,1.7,0.5,1.8,10.5
Isaiah Jackson,345,2696280,285,22,IND,C,59,4.0,0.8,0.6,1.0,0.7,6.5
Marcus Sasser,346,2624028,219,23,DET,PG,71,1.8,3.3,0.6,0.2,1.3,8.3
MarJon Beauchamp,347,2609400,372,23,MIL,SF,48,2.1,0.6,0.3,0.1,0.6,4.4
Charles Bassey,348,2600000,435,23,SAS,C,19,4.0,1.1,0.4,0.9,0.8,3.3
Damian Jones,349,2586665,464,28,CLE,C,39,1.6,0.4,0.2,0.3,0.3,2.7
Kenneth Lofton,350,2586618,357,21,UTA,PF,4,5.0,4.8,0.8,0.5,1.5,13.8
Kris Dunn,351,2586484,320,29,UTA,PG,66,2.9,3.8,1.0,0.4,1.2,5.4
Bruno Fernando,352,2581522,290,25,ATL,C,45,4.3,1.0,0.6,0.6,1.0,6.3
Jeremiah Robinson-Earl,353,2548843,457,23,NOP,PF,39,1.9,0.5,0.3,0.1,0.4,2.9
Ben Sheppard,354,2537172,377,22,IND,SG,57,1.6,0.9,0.6,0.0,0.3,4.4
Dennis Smith,355,2528233,279,26,BRK,PG,56,2.9,3.6,1.2,0.2,1.2,6.6
Frank Ntilikina,355,2528233,546,25,CHO,PG,5,1.2,0.8,0.0,0.0,0.2,1.0
Ryan Arcidiacono,355,2528233,563,29,NYK,PG,20,0.4,0.2,0.1,0.0,0.1,0.0
Thomas Bryant,355,2528233,308,26,MIA,C,38,3.7,0.6,0.3,0.4,0.6,5.7
Torrey Craig,355,2528233,309,33,CHI,SF,53,4.1,1.1,0.6,0.4,0.6,5.7
Blake Wesley,361,2504640,378,20,SAS,SG,61,1.5,2.7,0.5,0.1,0.9,4.4
Lamar Stevens,362,2492354,247,26,MEM,PF,19,5.1,1.1,0.9,0.9,0.8,11.5
Nick Smith,363,2463912,303,19,CHO,SG,51,1.4,1.2,0.2,0.1,0.8,5.9
Brice Sensabaugh,364,2448600,241,20,UTA,SF,32,3.2,1.7,0.4,0.2,1.5,7.5
Ty Jerome,365,2439025,502,26,CLE,SG,2,0.5,1.5,0.0,0.0,0.5,2.0
Julian Strawther,366,2431044,366,21,DEN,SF,50,1.2,0.9,0.3,0.1,0.5,4.5
Tristan Vukcevic,367,2424892,215,20,WAS,C,10,3.6,1.3,0.5,0.7,1.0,8.5
Wendell Moore,368,2421720,554,22,MIN,SG,25,0.5,0.2,0.2,0.0,0.2,0.7
Jordan McLaughlin,369,2420000,425,27,MIN,PG,56,1.3,2.0,0.6,0.1,0.3,3.5
Kobe Brown,370,2413356,497,24,LAC,PF,44,1.4,0.6,0.3,0.1,0.2,2.0
Luke Kornet,371,2413304,330,28,BOS,C,63,4.1,1.1,0.4,1.0,0.3,5.3
John Konchar,372,2400000,382,27,MEM,SF,55,4.7,2.0,0.9,0.9,0.8,4.3
Quentin Grimes,373,2385720,257,23,DET,SG,6,2.0,2.3,0.8,0.7,1.2,5.3
Aaron Holiday,375,2346614,278,27,HOU,PG,78,1.6,1.8,0.5,0.1,0.7,6.6
Drew Eubanks,375,2346614,339,26,PHO,C,75,4.3,0.8,0.4,0.8,0.8,5.1
Keita Bates-Diop,375,2346614,413,28,BRK,SF,14,0.6,0.3,0.2,0.1,0.1,1.6
Mo Bamba,375,2346614,370,25,PHI,C,57,4.2,0.7,0.4,1.1,0.7,4.4
Thanasis Antetokounmpo,375,2346614,548,31,MIL,PF,34,0.4,0.5,0.2,0.1,0.4,0.9
Yuta Watanabe,375,2346614,428,29,MEM,SF,5,1.8,1.0,0.6,0.0,0.6,2.6
Patrick Baldwin,383,2337720,369,21,WAS,SF,38,3.2,0.8,0.5,0.4,0.5,4.4
Harry Giles,384,2306554,475,25,LAL,C,7,0.6,0.0,0.1,0.0,0.0,0.3
Bones Hyland,385,2306400,262,23,LAC,PG,37,1.5,2.5,0.7,0.1,1.2,6.9
Peyton Watson,386,2303520,276,21,DEN,SF,80,3.2,1.1,0.5,1.1,0.7,6.7
Cam Thomas,387,2240160,35,22,BRK,SG,66,3.2,2.9,0.7,0.2,1.9,22.5
Vince Williams Jr,389,2232308,184,23,MEM,SG,52,5.6,3.4,0.9,0.7,1.8,10.0
Jaden Springer,390,2226240,434,21,BOS,PG,17,1.2,0.5,0.6,0.2,0.5,2.1
Day'Ron Sharpe,391,2210040,271,22,BRK,C,61,6.4,1.4,0.4,0.7,1.1,6.8
Jordan Goodwin,392,2208045,281,25,MEM,PG,17,8.0,4.5,1.5,0.5,1.6,10.0
Bol Bol,394,2165000,335,24,PHO,PF,43,3.2,0.4,0.2,0.6,0.4,5.2
Cam Reddish,394,2165000,322,24,LAL,SF,48,2.1,1.0,1.0,0.3,0.6,5.4
Jaxson Hayes,394,2165000,380,23,LAL,C,70,3.0,0.5,0.5,0.4,0.6,4.3
Moses Brown,394,2165000,430,24,POR,C,22,3.9,0.3,0.2,0.3,0.5,3.4
Oshae Brissett,394,2165000,414,25,BOS,SF,55,2.9,0.8,0.3,0.1,0.4,3.7
Kevin Knox,399,2144320,249,24,DET,SF,31,2.4,0.7,0.4,0.2,0.7,7.2
Andrew Nembhard,400,2131905,199,24,IND,PG,68,2.1,4.1,0.9,0.1,1.5,9.2
Goga Bitadze,401,2066585,343,24,ORL,C,62,4.6,1.3,0.5,1.2,0.7,5.0
Matt Ryan,403,2059782,323,26,NOP,SF,28,1.4,0.6,0.2,0.0,0.7,5.4
Colby Jones,404,2019706,495,21,SAC,SG,30,1.3,0.7,0.2,0.2,0.3,2.1
Dalano Banton,404,2019706,171,24,POR,PG,30,4.8,3.6,0.9,0.6,2.2,16.7
Sandro Mamukelashvili,404,2019706,392,24,SAS,C,46,3.2,1.1,0.2,0.3,0.4,4.1
Terry Taylor,404,2019706,525,24,CHI,PF,31,1.2,0.3,0.2,0.1,0.2,1.5
Trendon Watford,404,2019706,264,23,BRK,PF,63,3.1,1.3,0.4,0.3,1.0,6.9
Caleb Houstan,410,2000000,381,21,ORL,SF,59,1.4,0.5,0.3,0.1,0.3,4.3
Garrison Mathews,410,2000000,351,27,ATL,SG,66,1.4,0.6,0.3,0.1,0.3,4.9
Jaylin Williams,410,2000000,406,21,OKC,C,69,3.4,1.6,0.4,0.4,0.5,4.0
Anthony Gill,413,1997238,411,31,WAS,PF,50,1.9,0.7,0.3,0.2,0.5,3.8
Isaiah Joe,413,1997238,221,24,OKC,SG,78,2.3,1.3,0.6,0.3,0.6,8.2
Sam Merrill,413,1997238,227,27,CLE,SG,61,2.0,1.8,0.3,0.1,0.3,8.0
Duop Reath,417,1951220,202,27,POR,C,68,3.7,1.0,0.5,0.6,0.8,9.1
KJ Martin,418,1930681,412,23,PHI,SF,58,2.2,0.9,0.3,0.2,0.5,3.7
Naji Marshall,418,1930681,252,26,NOP,SF,66,3.6,1.9,0.7,0.2,1.0,7.1
Xavier Tillman,418,1930681,328,25,BOS,PF,20,2.7,1.0,0.5,0.5,0.3,4.0
Jericho Sims,421,1927896,504,25,NYK,C,45,3.3,0.6,0.2,0.4,0.4,2.0
Kessler Edwards,421,1927896,512,23,SAC,SF,54,0.8,0.3,0.2,0.1,0.1,1.7
Sam Hauser,421,1927896,203,26,BOS,SF,79,3.5,1.0,0.5,0.3,0.4,9.0
Haywood Highsmith,424,1902137,296,27,MIA,PF,66,3.2,1.1,0.8,0.5,0.5,6.1
AJ Green,425,1901769,363,24,MIL,SG,56,1.1,0.5,0.2,0.1,0.2,4.5
Ryan Rollins,426,1893589,427,21,MIL,PG,3,0.7,1.0,0.7,0.0,0.3,1.0
Aaron Wiggins,427,1836096,265,25,OKC,SG,78,2.4,1.1,0.7,0.2,0.7,6.9
Isaiah Livers,427,1836096,346,25,DET,PF,23,2.1,1.1,0.6,0.2,0.7,5.0
JT Thor,427,1836096,447,21,CHO,PF,63,2.3,0.5,0.2,0.4,0.2,3.2
Jose Alvarado,427,1836096,251,25,NOP,PG,56,2.3,2.1,1.1,0.3,0.7,7.1
Miles McBride,427,1836096,218,23,NYK,PG,68,1.5,1.7,0.7,0.1,0.4,8.3
Jared Butler,434,1809782,289,23,WAS,SG,40,1.5,3.2,0.7,0.2,1.3,6.3
Dru Smith,435,1801769,383,26,MIA,SG,9,1.6,1.6,1.0,0.3,0.6,4.3
Orlando Robinson,435,1801769,461,23,MIA,C,36,2.3,0.9,0.2,0.2,0.5,2.8
Leonard Miller,438,1800000,513,20,MIN,SF,17,1.2,0.5,0.1,0.1,0.1,1.7
Bryce McGowens,439,1719864,340,21,CHO,SG,59,1.7,0.9,0.4,0.2,0.5,5.1
Jabari Walker,439,1719864,205,21,POR,SF,72,7.1,1.0,0.6,0.3,0.9,8.9
Jaden Hardy,439,1719864,244,21,DAL,SG,73,1.8,1.5,0.3,0.1,0.8,7.3
Josh Minott,439,1719864,520,21,MIN,SF,32,0.5,0.3,0.2,0.2,0.1,1.6
Max Christie,439,1719864,388,20,LAL,SG,67,2.1,0.9,0.3,0.3,0.5,4.2
Jalen Pickett,447,1708143,521,24,DEN,SG,27,0.5,0.8,0.1,0.0,0.3,1.6
Julian Phillips,448,1600000,493,20,CHI,SF,40,0.9,0.3,0.2,0.2,0.3,2.2
Craig Porter,449,1500000,312,23,CLE,PG,51,2.1,2.3,0.4,0.3,0.9,5.6
Eugene Omoruyi,450,1459782,355,26,WAS,SF,43,2.0,0.8,0.6,0.1,0.5,4.8
DaQuan Jeffries,452,1341538,551,26,NYK,SG,17,0.3,0.3,0.0,0.1,0.2,0.8
Skylar Mays,454,1165280,391,26,LAL,SG,17,0.4,0.6,0.4,0.1,0.1,1.3
Andre Jackson Jr,455,1119563,492,22,MIL,SG,57,2.0,0.9,0.3,0.1,0.5,2.2
Chris Livingston,455,1119563,539,20,MIL,SF,21,1.0,0.2,0.1,0.0,0.2,1.2
Hunter Tyson,455,1119563,543,23,DEN,PF,18,0.5,0.1,0.1,0.0,0.1,1.1
Jordan Walsh,455,1119563,515,19,BOS,SF,9,2.2,0.6,0.6,0.1,0.3,1.7
Maxwell Lewis,455,1119563,562,21,LAL,SF,34,0.1,0.2,0.1,0.0,0.3,0.3
Mouhamed Gueye,455,1119563,399,21,ATL,PF,6,3.7,0.7,0.8,0.7,0.2,4.0
Rayan Rupert,455,1119563,404,19,POR,SG,39,2.4,1.6,0.3,0.1,0.8,4.0
Sidy Cissoko,455,1119563,410,19,SAS,SF,12,1.8,0.8,0.6,0.3,0.3,3.8
Toumani Camara,455,1119563,239,23,POR,PF,70,4.9,1.2,0.9,0.5,1.2,7.5
Trayce Jackson-Davis,455,1119563,230,23,GSW,PF,68,5.0,1.2,0.4,1.1,0.7,7.9
Dylan Windler,465,1116288,470,27,ATL,SF,6,2.0,0.5,0.3,0.0,0.3,4.7
Trent Forrest,466,1112933,490,25,ATL,SG,38,1.3,2.4,0.3,0.1,0.5,2.2
Lester Quinones,467,1108597,376,23,GSW,SG,37,1.9,1.0,0.2,0.1,0.5,4.4
Kendall Brown,468,1100000,528,20,IND,SG,15,0.3,0.3,0.0,0.0,0.1,1.4
Stanley Umude,469,1098242,333,24,DET,SG,24,2.1,0.5,0.3,0.3,0.6,5.3
Gui Santos,470,1029483,420,21,GSW,PF,23,2.1,0.6,0.2,0.1,0.3,3.6
Dominick Barlow,471,1015402,371,20,SAS,PF,33,3.4,1.1,0.4,0.4,0.3,4.4
Neemias Queta,474,891035,318,24,BOS,C,28,4.4,0.7,0.5,0.8,0.5,5.5
Jalen Wilson,475,850000,349,23,BRK,PF,43,3.0,1.0,0.3,0.1,0.4,5.0
Javon Freeman-Liberty,476,849324,258,24,TOR,PG,22,3.2,1.8,0.5,0.2,1.1,7.0
Lindy Waters III,477,766095,422,26,OKC,SG,38,1.1,0.6,0.1,0.2,0.2,3.6
Jacob Toppin,478,759245,532,23,NYK,SF,9,0.8,0.3,0.0,0.1,0.1,1.4
Mamadi Diakite,479,710574,496,27,NYK,PF,3,0.3,0.0,0.3,0.0,0.3,0.0
Jack White,480,703550,527,26,MEM,SF,4,3.0,0.3,1.0,0.3,0.5,1.5
Jacob Gilyard,482,701336,385,25,BRK,PG,4,0.8,1.5,1.5,0.0,0.3,0.0
Luka Garza,483,687465,398,25,MIN,C,25,1.2,0.2,0.2,0.0,0.2,4.0
Keon Ellis,484,683430,321,24,SAC,SG,57,2.2,1.5,0.9,0.5,0.6,5.4
TJ Warren,486,649659,417,30,MIN,SF,11,2.0,0.8,0.4,0.1,0.4,3.7
Darius Bazley,487,624425,327,23,UTA,PF,6,4.5,0.8,1.0,1.2,1.2,8.0
Adama Sanogo,489,559782,405,21,CHI,PF,9,4.0,0.0,0.1,0.0,0.6,4.0
Admiral Schofield,489,559782,542,26,ORL,PF,23,0.7,0.3,0.0,0.0,0.2,1.1
Amari Bailey,489,559782,482,19,CHO,PG,10,0.9,0.7,0.3,0.0,0.4,2.3
Braxton Key,489,559782,540,26,DEN,SF,20,0.9,0.5,0.1,0.1,0.1,1.1
Charlie Brown,489,559782,550,26,NYK,SG,8,0.3,0.0,0.0,0.3,0.3,0.8
Cole Swider,489,559782,487,24,MIA,SF,18,0.4,0.3,0.1,0.1,0.4,2.3
Colin Castleton,489,559782,523,23,LAL,C,16,0.8,0.2,0.1,0.0,0.2,1.5
Collin Gillespie,489,559782,419,24,DEN,PG,24,0.9,1.1,0.5,0.0,0.6,3.6
Daishen Nix,489,559782,508,21,MIN,PG,15,0.2,0.4,0.3,0.0,0.3,1.8
Dereon Seabron,489,559782,486,23,NOP,SG,6,1.2,0.8,0.3,0.2,0.0,2.3
Emoni Bates,489,559782,462,20,CLE,SF,15,0.9,0.7,0.1,0.1,0.5,2.7
Isaiah Mobley,489,559782,483,24,CLE,PF,10,1.0,0.6,0.2,0.0,0.2,2.3
Isaiah Wong,489,559782,506,23,IND,SG,1,0.0,0.0,0.0,0.0,0.0,2.0
JD Davison,489,559782,498,21,BOS,SG,8,1.3,1.3,0.1,0.1,0.3,2.0
Jalen Slawson,489,559782,555,24,SAC,SF,12,0.6,0.2,0.1,0.1,0.2,0.7
Jamal Cain,489,559782,415,24,MIA,PF,26,1.4,0.4,0.4,0.2,0.3,3.7
Jared Rhoden,489,559782,352,24,DET,SG,17,1.9,0.8,0.2,0.8,0.4,4.9
Jay Huff,489,559782,537,25,DEN,C,20,0.6,0.1,0.1,0.2,0.1,1.2
Jermaine Samuels,489,559782,531,25,HOU,SF,14,0.9,0.2,0.1,0.1,0.0,1.4
Jerome Robinson,489,559782,530,26,GSW,SG,22,0.3,0.2,0.0,0.1,0.1,1.4
Johnny Juzang,489,559782,248,22,UTA,SG,20,1.8,1.2,0.2,0.1,0.7,7.2
Jordan Ford,489,559782,499,25,SAC,PG,6,0.3,0.3,0.0,0.0,0.2,2.0
Jordan Miller,489,559782,519,24,LAC,SF,8,0.6,0.0,0.0,0.0,0.1,1.6
Justin Minaya,489,559782,507,24,POR,SF,34,1.6,0.6,0.3,0.3,0.3,1.8
Kevon Harris,489,559782,500,26,ORL,SG,2,1.0,0.5,0.0,0.0,0.5,2.0
Keyontae Johnson,489,559782,538,23,OKC,SF,9,1.1,0.4,0.1,0.0,0.4,1.2
Leaky Black,489,559782,463,24,CHO,SF,26,1.8,0.9,0.3,0.4,0.2,2.7
Malcolm Cazalon,489,559782,564,22,DET,SG,1,0.0,0.0,0.0,0.0,0.0,0.0
Markquis Nowell,489,559782,503,24,TOR,SG,1,2.0,2.0,1.0,0.0,0.0,2.0
Micah Potter,489,559782,436,25,UTA,PF,16,2.7,0.4,0.3,0.4,0.3,3.3
Nate Hinton,489,559782,491,24,HOU,SG,15,1.5,0.7,0.2,0.1,0.2,2.2
Olivier Sarr,489,559782,485,24,OKC,C,15,2.4,0.1,0.0,0.5,0.2,2.3
Oscar Tshiebwe,489,559782,441,24,IND,PF,8,2.0,0.3,0.3,0.1,0.0,3.3
Saben Lee,489,559782,454,24,PHO,PG,24,1.3,1.3,0.3,0.1,0.3,3.0
Seth Lundy,489,559782,518,23,ATL,SF,9,0.8,0.0,0.0,0.0,0.1,1.6
Terquavion Smith,489,559782,438,21,PHI,PG,16,0.3,0.8,0.5,0.0,0.4,3.3
Trevelin Queen,489,559782,456,26,ORL,SG,14,1.4,1.3,0.5,0.4,0.5,2.9
Udoka Azubuike,489,559782,488,24,PHO,C,16,2.0,0.2,0.1,0.4,0.3,2.2
Marques Bolden,534,502131,426,25,CHO,C,9,3.6,0.4,0.3,0.8,0.3,4.1
Onuralp Bitim,535,500000,424,24,CHI,SG,23,1.4,0.6,0.1,0.1,0.4,3.5
Xavier Moon,536,489005,480,29,LAC,SG,14,1.3,1.5,0.2,0.2,0.4,2.4
Isaiah Thomas,537,477630,535,34,PHO,PG,6,0.0,0.5,0.0,0.0,0.0,1.3
Ibou Badji,538,466485,522,21,POR,C,22,2.3,0.6,0.1,0.9,0.7,1.5
Juan Toscano-Anderson,539,447931,558,30,SAC,SF,11,1.3,0.4,0.1,0.1,0.2,0.6
Jules Bernard,541,415011,407,24,WAS,SG,19,1.4,0.8,0.2,0.1,0.4,3.9
Jontay Porter,542,411794,375,24,TOR,PF,26,3.2,2.3,0.8,0.8,0.8,4.4
Jaylen Nowell,543,398160,292,24,DET,SG,4,2.5,0.8,0.3,0.5,0.5,7.5
David Duke,544,395708,283,24,SAS,SG,4,2.5,1.3,0.5,0.0,0.8,6.5
Drew Peterson,544,395708,416,24,BOS,PF,3,0.3,0.3,0.7,0.0,0.3,3.7
Nathan Mensah,544,395708,534,25,CHO,C,25,2.6,0.4,0.2,0.6,0.6,1.3
Henri Drell,547,389274,460,23,CHI,SF,4,1.0,1.0,0.5,0.3,0.5,2.8
Alex Fudge,548,376405,469,20,DAL,SF,2,1.5,0.0,1.5,0.0,0.5,5.5
Vit Krejci,549,369971,297,23,ATL,PG,22,2.4,2.3,0.6,0.3,0.9,6.1
Brandon Williams,550,350668,448,24,DAL,PG,17,0.8,1.0,0.1,0.1,0.4,3.2
Trey Jemison,551,341017,267,24,MEM,C,23,5.8,1.2,0.5,1.2,1.4,7.4
Jason Preston,552,315280,514,24,UTA,PG,7,2.4,2.3,0.3,0.1,0.3,1.7
Tosan Evbuomwan,554,295977,301,22,DET,SF,13,3.5,0.8,0.5,0.3,0.6,7.0
Scottie Pippen Jr,555,289542,124,23,MEM,PG,21,3.2,4.7,1.7,0.5,2.7,12.9
Ashton Hagans,557,270841,389,24,POR,PG,19,2.4,2.8,0.6,0.5,1.6,4.2
Jeff Dowtin,558,269237,379,26,PHI,PG,12,1.7,2.3,0.6,0.1,0.4,4.3
Javonte Green,560,261293,135,30,CHI,SF,9,7.4,0.6,1.1,0.9,0.8,12.2
Justin Champagnie,561,254412,302,22,WAS,SF,15,3.5,1.3,0.7,0.6,0.7,5.9
Pete Nance,563,244503,561,23,CLE,PF,8,0.4,0.0,0.1,0.0,0.1,0.4
Lindell Wigginton,564,244502,505,25,MIL,PG,3,0.0,0.0,0.0,0.0,0.3,2.0
Armoni Brooks,565,241285,386,25,BRK,PG,10,1.8,0.5,0.1,0.1,0.3,4.2
D'Moi Hodge,565,241285,501,25,LAL,SG,7,0.0,0.7,0.1,0.1,0.1,2.0
Jahmi'us Ramsey,567,232150,275,22,TOR,SG,7,3.1,1.1,1.0,0.0,1.0,6.7
Alondes Williams,569,212331,557,24,MIA,SG,7,0.1,0.0,0.0,0.1,0.3,0.7
Dexter Dennis,569,212331,316,24,DAL,SG,4,2.3,1.0,0.0,0.3,0.8,5.5
Mason Jones,569,212331,529,25,SAC,SG,5,1.0,1.0,0.2,0.0,0.4,1.4
DeJon Jarreau,572,207100,354,26,MEM,SG,9,4.9,2.9,0.7,0.2,1.0,4.8
Zavier Simpson,572,207100,300,26,MEM,PG,7,2.9,3.6,1.0,0.4,1.4,6.0
Adam Flagler,574,205897,524,24,OKC,SG,2,0.0,2.0,0.0,0.0,0.0,1.5
DJ Carton,574,205897,459,23,TOR,SG,4,1.0,0.8,0.3,0.0,0.3,2.8
Danny Green,576,202074,568,36,PHI,SG,2,1.0,0.5,0.5,0.0,0.0,0.0
Mouhamadou Gueye,577,199463,477,25,TOR,PF,11,2.1,0.5,0.3,1.6,1.1,2.4
Jamaree Bouyea,581,170801,481,24,SAS,PG,3,3.0,1.0,0.3,0.0,0.3,3.7
Pat Spencer,582,170508,556,27,GSW,PG,6,0.7,0.8,0.0,0.0,0.2,0.7
Buddy Boeheim,583,167291,429,24,DET,SF,10,1.0,0.3,0.0,0.1,0.0,3.4
Andrew Funk,586,160857,566,24,CHI,SG,5,0.0,0.0,0.2,0.2,0.0,0.0
Ron Harper Jr,588,147988,569,23,TOR,PF,1,0.0,1.0,0.0,0.0,0.0,0.0
Justin Jackson,590,145301,570,28,MIN,SF,2,0.0,0.0,0.0,0.0,0.0,0.0
Shaquille Harrison,590,145301,552,30,MEM,SG,3,0.7,0.0,0.0,0.3,0.0,0.7
RaiQuan Gray,592,141554,236,24,SAS,PF,3,2.3,2.0,0.3,0.3,0.3,7.7
Quenton Jackson,594,135120,553,25,IND,PG,3,1.3,0.7,0.3,0.0,0.0,0.7
DJ Wilson,595,134863,348,27,PHI,PF,2,1.0,1.0,0.0,1.0,0.0,5.0
Hamidou Diallo,595,134863,545,25,WAS,SG,2,1.0,0.5,1.0,0.0,0.5,1.0
Matthew Hurt,597,128686,401,23,MEM,PF,8,2.0,0.5,0.4,0.4,0.3,4.0
Wenyen Gabriel,599,124425,431,26,MEM,PF,5,5.0,0.6,0.4,0.4,1.6,3.4
Kobi Simmons,600,120250,347,26,TOR,PG,4,1.8,3.0,1.5,0.5,0.3,5.0
Malik Williams,604,77212,465,25,TOR,C,7,5.4,0.3,0.4,0.6,0.4,2.7
Taze Moore,606,70687,365,25,POR,SG,4,2.0,1.3,0.5,0.0,0.8,4.5
Izaiah Brockington,607,64343,396,24,NOP,PG,1,2.0,0.0,0.0,0.0,0.0,4.0
Jalen Crutcher,607,64343,565,24,NOP,PG,1,0.0,0.0,0.0,0.0,0.0,0.0
Timmy Allen,607,64343,466,24,MEM,SF,5,3.4,1.0,0.8,0.0,0.4,2.6
Kaiser Gates,612,35389,567,27,NOP,SF,1,1.0,0.0,0.0,0.0,0.0,0.0
